Serial No,Book Page,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
2797,405,Extension,Which mark indicates the purity and quality of agricultural products?,ECOMARK,BIS,AGMARK,RBI,None of these,C,"AGMARK is the label given under the Central Agricultural Produce (Grading & Marking) Act, 1937, indicating purity and quality."
2798,405,Extension,Who is the current governor of the Reserve Bank of India (RBI)?,Dinesh Kumar Khara,Shaktikanta Das,Narendra Modi,Raghuram Rajan,None of these,B,Shaktikanta Das is the current governor of the Reserve Bank of India (RBI).
2799,405,Extension,Which institution provides a third-party guarantee to the buyer regarding the quality of goods?,AGMARK,ECOMARK,Bureau of Indian Standards (BIS),State Bank of India (SBI),None of these,C,The Bureau of Indian Standards (BIS) provides a third-party guarantee to the buyer that the goods are made in accordance with the provenance of Indian standards.
2800,405,Extension,Where is the headquarters of the State Bank of India (SBI) located?,New Delhi,Chennai,Mumbai,Kolkata,None of these,C,The headquarters of the State Bank of India (SBI) is located in Mumbai.
2801,406,Extension,Which organization was previously known as ISI (Indian Standards Institution)?,Bureau of Indian Standards (BIS),International Organization for Standardization (ISO),Food Corporation of India (FCI),National Bank For Agriculture and Rural Development (NABARD),None of these,A,The Bureau of Indian Standards (BIS) was earlier named as ISI (Indian Standards Institution) established in 1947.
2802,406,Extension,What is the primary responsibility of the Food Corporation of India (FCI)?,To promote universal standards,To provide indirect finance to rural communities,Storage of agricultural commodities,To enhance export of processed agricultural products,None of these,C,The main responsibility of the Food Corporation of India (FCI) is the storage of agricultural commodities in the country.
2803,406,Extension,When was the National Bank For Agriculture and Rural Development (NABARD) established?,"14, Jan., 1965","12, July, 1982","8, Aug., 1988","1, Jan., 1995",None of these,B,"NABARD was established on 12, July, 1982 for agriculture and rural development by refinance."
2804,406,Extension,What was the former name of the World Trade Organization (WTO)?,International Organization for Standardization (ISO),General Agreement on Tariffs & Trade (GATT),National Institute of Agriculture Marketing (NIAM),Tribal Co-operative Marketing Federation (TRIFED),None of these,B,The World Trade Organization (WTO) was earlier named as General Agreement on Tariffs & Trade (GATT).
2805,406,Extension,Which organization is responsible for enhancing the export of processed agricultural products?,Food Corporation of India (FCI),National Bank For Agriculture and Rural Development (NABARD),Agricultural & Processed Food Products Export Development Authority (APEDA),National Institute of Agriculture Marketing (NIAM),None of these,C,The Agricultural & Processed Food Products Export Development Authority (APEDA) is responsible for enhancing the export of processed agricultural products.
2806,406,Extension,What is the main function of the Tribal Co-operative Marketing Federation (TRIFED)?,To provide specified trainings in agriculture marketing,To develop the system of marketing of forest products in tribal communities,To promote universal standards,To provide indirect finance to rural communities,None of these,B,The main function of the Tribal Co-operative Marketing Federation (TRIFED) is to develop the system of marketing of forest products in tribal communities.
2807,406,Extension,When was the National Institute of Agriculture Marketing (NIAM) renamed as Choudhary Charan Singh National Institute of Ag. Marketing (CCS-NIAM)?,1987,1988,1986,1982,None of these,B,The National Institute of Agriculture Marketing (NIAM) was renamed as Choudhary Charan Singh National Institute of Ag. Marketing (CCS-NIAM) in 1988.
2808,407,Agricultural Economics,Which organization recommends the Minimum Support Price (MSP) in India?,Commission on Agricultural Cost & Price (CACP),Directorate of Marketing and Inspection (DMI),Planning Commission,Land Development Bank,None of these,A,The Commission on Agricultural Cost & Price (CACP) is responsible for recommending the Minimum Support Price (MSP) in India.
2809,407,Agricultural Economics,When was the cooperative movement started in India?,1904,1937,1950,1965,None of these,A,The cooperative movement in India was started in 1904.
2810,407,Agricultural Economics,Which factor in farm production is considered passive?,Capital,Labor,Land,Management,None of these,A,"In farm production, capital is considered the passive factor."
2811,407,Agricultural Economics,What type of tax is VAT (Value Added Tax)?,Indirect tax,Direct tax,Progressive tax,Regressive tax,None of these,A,VAT (Value Added Tax) is an indirect tax.
2812,407,Agricultural Economics,What is the period of the agricultural year in India?,1st June to 31st May,1st April to 31st March,1st January to 31st December,1st July to 30th June,None of these,A,The agricultural year in India is from 1st June to 31st May.
2813,407,Agricultural Economics,Which type of market is considered a perfect market?,Retail markets,Wholesale markets,Commodity markets,Stock markets,None of these,A,Retail markets are considered to be perfect markets.
